,first,second,third
0,0.016530955,0.017507521,0.013448729
1,0.018328499,0.021172827,0.015345083
2,0.01847441,0.018173119,0.016062642
3,0.019274628,0.020587323,0.020431062
4,0.030024333,0.026850523,0.019179087
5,0.020640476,0.018124973,0.013936939
6,0.021888938,0.023674322,0.017195556
7,0.023305375,0.019825963,0.01472813
8,0.020051982,0.018855574,0.016731435
9,0.018990122,0.022454603,0.015269375
10,0.018980294,0.021788534,0.017715462
11,0.017811166,0.017596466,0.021165412
12,0.012273866,0.013614749,0.010143266
13,0.015221369,0.018366842,0.012583906
14,0.01289181,0.014494527,0.012532067
15,0.018236654,0.02182279,0.019478042
16,0.019253252,0.021052862,0.020124191
17,0.017765405,0.02044492,0.016697701
18,0.019020976,0.01957752,0.014782111
19,0.019587783,0.018086262,0.015304057
20,0.026452309,0.030140728,0.021372462
21,0.02052545,0.02074076,0.021650488
22,0.021962073,0.024003856,0.023129037
23,0.019621508,0.017968778,0.013503217
24,0.020370172,0.018515632,0.015373032
25,0.018567637,0.019063469,0.016329857
26,0.01806872,0.018254263,0.018006453
27,0.047976635,0.03892408,0.061989814
28,0.023745267,0.025667297,0.027773911
29,0.019853361,0.019620737,0.014714194
30,0.028125945,0.02354384,0.029159216
31,0.018719418,0.01847239,0.01889173
32,0.018265784,0.020872002,0.012018392
33,0.029249689,0.027072303,0.031217786
34,0.019454105,0.020273162,0.017163252
35,0.02119904,0.023987519,0.022741674
36,0.028675016,0.031484507,0.045652665
37,0.021191183,0.030268462,0.062196888
38,0.03845265,0.029773327,0.030860944
39,0.057130538,0.044716485,0.09061158
40,0.016022641,0.017291836,0.011618253
41,0.021313474,0.02297035,0.020558165
42,0.01970584,0.018426422,0.016477218
43,0.022204598,0.021919457,0.01750453
44,0.024594687,0.021956122,0.016630871
